1865    1865-06-11	3003
1895	1895-03-05	4107
1895	1895-03-05	4118
1895	1895-03-12	2618
1895	1895-03-12	2629
1895	1895-03-12	2636
1895	1895-03-12	2910
1895	1895-03-12	3268
1895	1895-03-12	3292
1895	1895-03-12	3298
1895	1895-03-12	4252
1895	1895-03-12	4374
1895	1895-03-19	2637
1895	1895-03-19	2648
1895	1895-03-19	2658
1895	1895-03-19	3254
1895	1895-03-19	3344
1895	1895-03-19	3345
1895	1895-03-19	4056
1895	1895-03-19	4131
1895	1895-03-26	2659
1895	1895-03-26	2662
1895	1895-03-26	2667
1895	1895-03-26	2676
1895	1895-03-26	3653
1895	1895-03-26	4074
1895	1895-03-26	4137
1895	1895-03-26	4175
1895	1895-03-29	4151
1895	1895-04-09	2665
1895	1895-04-09	2677
1895	1895-04-09	2678
1895	1895-04-09	2687
1895	1895-04-09	3276
1895	1895-04-09	3384
1895	1895-04-09	4163
1895	1895-04-09	4369
1895	1895-04-16	3111
1895	1895-04-16	3233
1895	1895-04-16	3262
1895	1895-04-16	3423
1895	1895-04-16	3451
1895	1895-04-16	3966
1895	1895-04-16	4099
1895	1895-04-16	4345
1895	1895-04-23	2689
1895	1895-04-23	2704
1895	1895-04-23	2706
1895	1895-04-23	2716
1895	1895-04-23	2730
1895	1895-04-23	3353
1895	1895-04-23	3401
1895	1895-04-23	3418
1895	1895-04-23	3844
1895	1895-04-23	3846
1895	1895-04-23	3847
1895	1895-04-30	2684
1895	1895-04-30	2746
1895	1895-04-30	2751
1895	1895-04-30	2752
1895	1895-04-30	2755
1895	1895-04-30	2802
1895	1895-04-30	3399
1895	1895-04-30	3415
1895	1895-04-30	3419
1895	1895-04-30	3420
1895	1895-04-30	4377
1895	1895-04-30	4422
1895	1895-05-07	2699
1895	1895-05-07	2700
1895	1895-05-07	2738
1895	1895-05-07	2791
1895	1895-05-07	2818
1895	1895-05-07	2819
1895	1895-05-07	2822
1895	1895-05-07	3398
1895	1895-05-07	3413
1895	1895-05-07	3453
1895	1895-05-07	4183
1895	1895-05-07	4231
1895	1895-05-07	4232
1895	1895-05-07	4233
